dataset,fk,ckpt,candidates,n,pre_mrr,pre_mrr_lo,pre_mrr_hi,pre_h1,pre_h10,pre_h10_lo,pre_h10_hi,rand_mrr,rand_h10,deg_mrr,deg_h10,randbase
rel-stack,votes.PostId,ultra_3g,333893,60,0.0009,0.0003,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0
rel-stack,votes.UserId,ultra_3g,255360,60,0.0654,0.0208,0.1249,0.05,0.1,0.0333,0.1833,0.0,0.0,0.0664,0.1333,0.0
rel-stack,badges.UserId,ultra_3g,255360,60,0.0145,0.0024,0.0327,0.0,0.05,0.0,0.1167,0.0,0.0,0.0339,0.0667,0.0
rel-stack,posts.OwnerUserId,ultra_3g,255360,60,0.0719,0.025,0.1344,0.05,0.1333,0.05,0.2167,0.0,0.0,0.0334,0.05,0.0
rel-stack,posts.ParentId,ultra_3g,333893,60,0.0003,0.0001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0
rel-stack,comments.UserId,ultra_3g,255360,60,0.1079,0.0489,0.1841,0.0667,0.1667,0.0833,0.2667,0.0,0.0,0.1157,0.1833,0.0
rel-stack,comments.PostId,ultra_3g,333893,60,0.0013,0.0005,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rel-stack,postHistory.PostId,ultra_3g,333893,60,0.0024,0.0011,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rel-stack,postHistory.UserId,ultra_3g,255360,60,0.0718,0.0314,0.1239,0.0333,0.1667,0.0829,0.2667,0.0,0.0,0.0804,0.2,0.0
rel-stack,postLinks.PostId,ultra_3g,333893,60,0.0003,0.0001,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0
rel-stack,postLinks.RelatedPostId,ultra_3g,333893,60,0.0078,0.0023,0.0159,0.0,0.0167,0.0,0.05,0.0,0.0,0.0165,0.0333,0.0
rel-stack,votes.PostId,run48_paired,333893,60,0.0003,0.0001,0.0006,0.0,0.0,0.0,0.0,,,0.0007,0.0,0.0
rel-stack,votes.UserId,run48_paired,255360,60,0.3052,0.1932,0.4222,0.3,0.3167,0.2,0.4333,,,0.0664,0.1333,0.0
rel-stack,badges.UserId,run48_paired,255360,60,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,,,0.0339,0.0667,0.0
rel-stack,posts.OwnerUserId,run48_paired,255360,60,0.5158,0.4289,0.6084,0.3,0.8333,0.7333,0.9167,,,0.0334,0.05,0.0
rel-stack,posts.ParentId,run48_paired,333893,60,0.0004,0.0001,0.0008,0.0,0.0,0.0,0.0,,,0.0002,0.0,0.0
rel-stack,comments.UserId,run48_paired,255360,60,0.5005,0.3879,0.6104,0.3833,0.6167,0.4833,0.7333,,,0.1157,0.1833,0.0
rel-stack,comments.PostId,run48_paired,333893,60,0.1905,0.1052,0.2873,0.15,0.2667,0.1667,0.3833,,,0.0,0.0,0.0
rel-stack,postHistory.PostId,run48_paired,333893,60,0.2029,0.1222,0.2968,0.1333,0.3167,0.2,0.4333,,,0.0,0.0,0.0
rel-stack,postHistory.UserId,run48_paired,255360,60,0.7341,0.6341,0.8273,0.65,0.8167,0.7167,0.9167,,,0.0804,0.2,0.0
rel-stack,postLinks.PostId,run48_paired,333893,60,0.0596,0.0096,0.1167,0.0333,0.0833,0.0167,0.15,,,0.0002,0.0,0.0
rel-stack,postLinks.RelatedPostId,run48_paired,333893,60,0.0546,0.0044,0.118,0.05,0.0667,0.0167,0.1333,,,0.0165,0.0333,0.0
