dataset,fk,ckpt,candidates,n,pre_mrr,pre_mrr_lo,pre_mrr_hi,pre_h1,pre_h10,pre_h10_lo,pre_h10_hi,rand_mrr,rand_h10,deg_mrr,deg_h10,randbase
rel-f1,qualifying.raceId,ultra_4g,820,60,0.0392,0.0168,0.0747,0.0167,0.1,0.0333,0.1833,0.0014,0.0,0.0136,0.0,0.0012
rel-f1,qualifying.driverId,ultra_4g,857,60,0.3634,0.284,0.4494,0.1667,0.75,0.6333,0.85,0.0012,0.0,0.1196,0.35,0.0012
rel-f1,qualifying.constructorId,ultra_4g,211,60,0.324,0.2362,0.4159,0.2,0.6667,0.55,0.7833,0.0052,0.0,0.1619,0.6333,0.0047
rel-f1,races.circuitId,ultra_4g,77,60,0.0186,0.0167,0.0208,0.0,0.0,0.0,0.0,0.0185,0.0,0.1933,0.4,0.013
rel-f1,standings.raceId,ultra_4g,820,60,0.0114,0.0067,0.0171,0.0,0.0333,0.0,0.0833,0.0094,0.0333,0.0279,0.0333,0.0012
rel-f1,standings.driverId,ultra_4g,857,60,0.029,0.0162,0.0458,0.0,0.05,0.0,0.1167,0.0015,0.0,0.0492,0.0833,0.0012
rel-f1,constructor_standings.raceId,ultra_4g,820,60,0.0085,0.0039,0.016,0.0,0.0167,0.0,0.05,0.0037,0.0,0.0072,0.0,0.0012
rel-f1,constructor_standings.constructorId,ultra_4g,211,60,0.1754,0.112,0.2466,0.0833,0.4,0.2667,0.5167,0.0061,0.0,0.1771,0.4167,0.0047
rel-f1,constructor_results.raceId,ultra_4g,820,60,0.0043,0.0033,0.0053,0.0,0.0,0.0,0.0,0.0038,0.0,0.0107,0.0,0.0012
rel-f1,constructor_results.constructorId,ultra_4g,211,60,0.1977,0.1346,0.2723,0.0667,0.5,0.3833,0.6333,0.0061,0.0,0.244,0.4667,0.0047
rel-f1,results.raceId,ultra_4g,820,60,0.0137,0.0064,0.0234,0.0,0.0333,0.0,0.0833,0.0043,0.0,0.0066,0.0,0.0012
rel-f1,results.driverId,ultra_4g,857,60,0.1865,0.1197,0.2583,0.0667,0.4333,0.3,0.55,0.0015,0.0,0.0786,0.1833,0.0012
rel-f1,results.constructorId,ultra_4g,211,60,0.2798,0.2135,0.3482,0.0667,0.55,0.4167,0.6667,0.0057,0.0,0.1972,0.4667,0.0047
