dataset,fk,ckpt,candidates,n,pre_mrr,pre_mrr_lo,pre_mrr_hi,pre_h1,pre_h10,pre_h10_lo,pre_h10_hi,rand_mrr,rand_h10,deg_mrr,deg_h10,randbase
rel-f1,qualifying.raceId,re48_seed0,820,200,0.0238,0.0203,0.0276,0.0,0.03,0.01,0.055,0.0299,0.065,0.0195,0.005,0.0012
rel-f1,qualifying.driverId,re48_seed0,857,200,0.3847,0.3469,0.4288,0.16,0.91,0.87,0.95,0.0106,0.0,0.1323,0.35,0.0012
rel-f1,qualifying.constructorId,re48_seed0,211,200,0.4532,0.4038,0.5013,0.265,0.995,0.985,1.0,0.0363,0.0,0.1805,0.645,0.0047
rel-f1,races.circuitId,re48_seed0,77,200,0.145,0.1105,0.1787,0.065,0.34,0.275,0.4,0.027,0.0,0.2087,0.53,0.013
rel-f1,standings.raceId,re48_seed0,820,200,0.0314,0.0226,0.0432,0.005,0.065,0.035,0.1,0.0207,0.03,0.0163,0.035,0.0012
rel-f1,standings.driverId,re48_seed0,857,200,0.0324,0.0289,0.0353,0.0,0.01,0.0,0.025,0.0025,0.0,0.051,0.09,0.0012
rel-f1,constructor_standings.raceId,re48_seed0,820,200,0.0156,0.0111,0.0217,0.0,0.015,0.0,0.03,0.0111,0.01,0.0053,0.0,0.0012
rel-f1,constructor_standings.constructorId,re48_seed0,211,200,0.0968,0.0902,0.103,0.0,0.51,0.435,0.575,0.01,0.0,0.1688,0.41,0.0047
rel-f1,constructor_results.raceId,re48_seed0,820,200,0.0217,0.0137,0.0339,0.005,0.035,0.01,0.06,0.0079,0.005,0.0062,0.0,0.0012
rel-f1,constructor_results.constructorId,re48_seed0,211,200,0.1073,0.1018,0.1135,0.0,0.56,0.49,0.625,0.0135,0.0,0.1981,0.45,0.0047
rel-f1,results.raceId,re48_seed0,820,200,0.0332,0.0219,0.0501,0.005,0.05,0.02,0.085,0.0173,0.02,0.0159,0.01,0.0012
rel-f1,results.driverId,re48_seed0,857,200,0.247,0.2133,0.2828,0.08,0.67,0.605,0.735,0.0043,0.0,0.0407,0.105,0.0012
rel-f1,results.constructorId,re48_seed0,211,200,0.4365,0.3892,0.4893,0.25,0.91,0.87,0.95,0.0106,0.0,0.1835,0.415,0.0047
