dataset,fk,ckpt,candidates,n,pre_mrr,pre_mrr_lo,pre_mrr_hi,pre_h1,pre_h10,pre_h10_lo,pre_h10_hi,rand_mrr,rand_h10,deg_mrr,deg_h10,randbase
rel-f1,qualifying.raceId,ultra_3g,820,60,0.0018,0.0017,0.002,0.0,0.0,0.0,0.0,0.0014,0.0,0.0136,0.0,0.0012
rel-f1,qualifying.driverId,ultra_3g,857,60,0.2034,0.1427,0.2723,0.0667,0.5333,0.4167,0.6667,0.0012,0.0,0.1196,0.35,0.0012
rel-f1,qualifying.constructorId,ultra_3g,211,60,0.2231,0.1538,0.2958,0.0833,0.4667,0.35,0.6,0.0052,0.0,0.1619,0.6333,0.0047
rel-f1,races.circuitId,ultra_3g,77,60,0.1939,0.1245,0.2738,0.1,0.4167,0.3,0.55,0.0185,0.0,0.1933,0.4,0.013
rel-f1,standings.raceId,ultra_3g,820,60,0.0067,0.0034,0.0108,0.0,0.0167,0.0,0.05,0.0094,0.0333,0.0279,0.0333,0.0012
rel-f1,standings.driverId,ultra_3g,857,60,0.0403,0.0164,0.0841,0.0167,0.0667,0.0167,0.1333,0.0015,0.0,0.0492,0.0833,0.0012
rel-f1,constructor_standings.raceId,ultra_3g,820,60,0.0067,0.0037,0.0114,0.0,0.0167,0.0,0.05,0.0037,0.0,0.0072,0.0,0.0012
rel-f1,constructor_standings.constructorId,ultra_3g,211,60,0.1771,0.1143,0.2481,0.0833,0.4167,0.2833,0.5337,0.0061,0.0,0.1771,0.4167,0.0047
rel-f1,constructor_results.raceId,ultra_3g,820,60,0.0054,0.0042,0.0068,0.0,0.0,0.0,0.0,0.0038,0.0,0.0107,0.0,0.0012
rel-f1,constructor_results.constructorId,ultra_3g,211,60,0.2457,0.168,0.3359,0.15,0.4667,0.35,0.6,0.0061,0.0,0.244,0.4667,0.0047
rel-f1,results.raceId,ultra_3g,820,60,0.0136,0.0047,0.0274,0.0,0.0333,0.0,0.0833,0.0043,0.0,0.0066,0.0,0.0012
rel-f1,results.driverId,ultra_3g,857,60,0.1241,0.0647,0.1942,0.0667,0.2667,0.1667,0.3833,0.0015,0.0,0.0786,0.1833,0.0012
rel-f1,results.constructorId,ultra_3g,211,60,0.2431,0.1738,0.3189,0.1,0.5667,0.4496,0.7,0.0057,0.0,0.1972,0.4667,0.0047
rel-f1,qualifying.raceId,run48_paired,820,60,0.0317,0.0213,0.0429,0.0,0.0833,0.0167,0.15,,,0.0136,0.0,0.0012
rel-f1,qualifying.driverId,run48_paired,857,60,0.335,0.2791,0.405,0.1,0.9333,0.8667,0.9833,,,0.1196,0.35,0.0012
rel-f1,qualifying.constructorId,run48_paired,211,60,0.5445,0.4553,0.6343,0.3333,1.0,1.0,1.0,,,0.1619,0.6333,0.0047
rel-f1,races.circuitId,run48_paired,77,60,0.1005,0.0716,0.1337,0.0,0.3,0.1833,0.4167,,,0.1933,0.4,0.013
rel-f1,standings.raceId,run48_paired,820,60,0.0224,0.017,0.0287,0.0,0.0,0.0,0.0,,,0.0279,0.0333,0.0012
rel-f1,standings.driverId,run48_paired,857,60,0.0292,0.0238,0.0354,0.0,0.0167,0.0,0.05,,,0.0492,0.0833,0.0012
rel-f1,constructor_standings.raceId,run48_paired,820,60,0.0122,0.0078,0.0184,0.0,0.0167,0.0,0.05,,,0.0072,0.0,0.0012
rel-f1,constructor_standings.constructorId,run48_paired,211,60,0.0663,0.0601,0.072,0.0,0.0833,0.0167,0.1667,,,0.1771,0.4167,0.0047
rel-f1,constructor_results.raceId,run48_paired,820,60,0.017,0.0111,0.0242,0.0,0.0167,0.0,0.05,,,0.0107,0.0,0.0012
rel-f1,constructor_results.constructorId,run48_paired,211,60,0.1001,0.0904,0.1103,0.0,0.5,0.3667,0.6167,,,0.244,0.4667,0.0047
rel-f1,results.raceId,run48_paired,820,60,0.0315,0.016,0.052,0.0,0.0833,0.0167,0.15,,,0.0066,0.0,0.0012
rel-f1,results.driverId,run48_paired,857,60,0.2307,0.1803,0.2814,0.0333,0.7333,0.6,0.8333,,,0.0786,0.1833,0.0012
rel-f1,results.constructorId,run48_paired,211,60,0.5341,0.4515,0.6193,0.3167,0.9833,0.95,1.0,,,0.1972,0.4667,0.0047
