dataset,fk,ckpt,candidates,n,pre_mrr,pre_mrr_lo,pre_mrr_hi,pre_h1,pre_h10,pre_h10_lo,pre_h10_hi,rand_mrr,rand_h10,deg_mrr,deg_h10,randbase
rel-stack,votes.PostId,ultra_50g,333893,60,0.0006,0.0002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0
rel-stack,votes.UserId,ultra_50g,255360,60,0.7354,0.6201,0.8351,0.7333,0.7333,0.6167,0.8333,0.0,0.0,0.0664,0.1333,0.0
rel-stack,badges.UserId,ultra_50g,255360,60,0.0016,0.0007,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0339,0.0667,0.0
rel-stack,posts.OwnerUserId,ultra_50g,255360,60,0.0209,0.0101,0.04,0.0,0.0167,0.0,0.05,0.0,0.0,0.0334,0.05,0.0
rel-stack,posts.ParentId,ultra_50g,333893,60,0.1745,0.0931,0.2651,0.1167,0.2667,0.1667,0.3833,0.0,0.0,0.0002,0.0,0.0
rel-stack,comments.UserId,ultra_50g,255360,60,0.1292,0.0645,0.2057,0.0833,0.2333,0.1333,0.35,0.0,0.0,0.1157,0.1833,0.0
rel-stack,comments.PostId,ultra_50g,333893,60,0.2128,0.1333,0.3075,0.1333,0.35,0.2333,0.4667,0.0,0.0,0.0,0.0,0.0
rel-stack,postHistory.PostId,ultra_50g,333893,60,0.2099,0.1205,0.3048,0.15,0.3167,0.2,0.4333,0.0,0.0,0.0,0.0,0.0
rel-stack,postHistory.UserId,ultra_50g,255360,60,0.1054,0.0573,0.1618,0.0333,0.2167,0.1167,0.3333,0.0,0.0,0.0804,0.2,0.0
rel-stack,postLinks.PostId,ultra_50g,333893,60,0.0483,0.0102,0.0947,0.0167,0.1,0.0333,0.1833,0.0,0.0,0.0002,0.0,0.0
rel-stack,postLinks.RelatedPostId,ultra_50g,333893,60,0.0288,0.0064,0.0585,0.0,0.05,0.0,0.1167,0.0,0.0,0.0165,0.0333,0.0
