dataset,fk,ckpt,candidates,n,pre_mrr,pre_mrr_lo,pre_mrr_hi,pre_h1,pre_h10,pre_h10_lo,pre_h10_hi,rand_mrr,rand_h10,deg_mrr,deg_h10,randbase
rel-stack,votes.PostId,re48_seed2,333893,60,0.0169,0.0001,0.0668,0.0167,0.0167,0.0,0.0667,0.001,0.0,0.0088,0.0167,0.0
rel-stack,votes.UserId,re48_seed2,255360,60,0.4718,0.3535,0.5878,0.4667,0.4667,0.35,0.5833,0.0,0.0,0.073,0.1167,0.0
rel-stack,badges.UserId,re48_seed2,255360,60,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.0333,0.0
rel-stack,posts.OwnerUserId,re48_seed2,255360,60,0.5477,0.4706,0.6325,0.2833,0.9333,0.8667,0.9833,0.0,0.0,0.0167,0.0333,0.0
rel-stack,posts.ParentId,re48_seed2,333893,60,0.0004,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0
rel-stack,comments.UserId,re48_seed2,255360,60,0.3908,0.2888,0.4977,0.2667,0.55,0.4333,0.6833,0.0,0.0,0.1152,0.1833,0.0
rel-stack,comments.PostId,re48_seed2,333893,60,0.1615,0.0813,0.2506,0.1167,0.25,0.15,0.3504,0.0006,0.0,0.0001,0.0,0.0
rel-stack,postHistory.PostId,re48_seed2,333893,60,0.2595,0.1691,0.3519,0.1667,0.4333,0.3,0.5667,0.0,0.0,0.0004,0.0,0.0
rel-stack,postHistory.UserId,re48_seed2,255360,60,0.7242,0.6192,0.825,0.6333,0.8333,0.7333,0.9167,0.0,0.0,0.1345,0.2167,0.0
rel-stack,postLinks.PostId,re48_seed2,333893,60,0.0369,0.0002,0.087,0.0333,0.05,0.0,0.1167,0.0001,0.0,0.0008,0.0,0.0
rel-stack,postLinks.RelatedPostId,re48_seed2,333893,60,0.0382,0.0035,0.0882,0.0333,0.0333,0.0,0.0833,0.0241,0.0333,0.015,0.0333,0.0
