backbone,train_kg,regime,seed,split,family,regime_vs_train_fbv1,num_queries,mrr,h1,h10,mrr_reference_meme_regime,ecart
gat,FB15k237Inductive:v1 (reference du regime),echantillonne,0,WKIngram:100,Wikidata,new-KG,8992,0.0868,0.05,0.1579,0.0868,0.0
gat,FB15k237Inductive:v1 (reference du regime),echantillonne,0,WKIngram:25,Wikidata,new-KG,2262,0.2342,0.1587,0.3864,0.2342,0.0
gat,FB15k237Inductive:v1 (reference du regime),echantillonne,0,WKIngram:50,Wikidata,new-KG,6450,0.1267,0.0826,0.2183,0.1267,0.0
gat,FB15k237Inductive:v1 (reference du regime),echantillonne,0,WKIngram:75,Wikidata,new-KG,2288,0.2741,0.2115,0.3916,0.2741,0.0
gat,FB15k237Inductive:v1 (reference du regime),echantillonne,0,WN18RRInductive:v1,WordNet,new-KG,746,0.582,0.4893,0.7011,0.582,0.0
gat,FB15k237Inductive:v1 (reference du regime),echantillonne,0,WN18RRInductive:v2,WordNet,new-KG,1704,0.5769,0.5023,0.6755,0.5769,0.0
gat,FB15k237Inductive:v1 (reference du regime),echantillonne,0,WN18RRInductive:v3,WordNet,new-KG,2286,0.2896,0.2568,0.3465,0.2896,0.0
gat,FB15k237Inductive:v1 (reference du regime),echantillonne,0,WN18RRInductive:v4,WordNet,new-KG,5646,0.5281,0.4532,0.6339,0.5281,0.0
gat,FB15k237Inductive:v1 (reference du regime),echantillonne,0,WikiTopicsMT1:health,Wikidata,new-KG,3132,0.2492,0.219,0.3167,0.2492,0.0
gat,FB15k237Inductive:v1 (reference du regime),echantillonne,0,WikiTopicsMT1:tax,Wikidata,new-KG,3668,0.1825,0.1505,0.2287,0.1825,0.0
gat,FB15k237Inductive:v1 (reference du regime),echantillonne,0,WikiTopicsMT2:org,Wikidata,new-KG,4882,0.0079,0.0047,0.0147,0.0079,0.0
gat,FB15k237Inductive:v1 (reference du regime),echantillonne,0,WikiTopicsMT2:sci,Wikidata,new-KG,3300,0.1775,0.1406,0.2264,0.1775,0.0
gat,FB15k237Inductive:v1 (reference du regime),echantillonne,0,WikiTopicsMT3:art,Wikidata,new-KG,6226,0.094,0.0695,0.1463,0.094,0.0
gat,FB15k237Inductive:v1 (reference du regime),echantillonne,0,WikiTopicsMT3:infra,Wikidata,new-KG,4810,0.3341,0.3004,0.3821,0.3341,0.0
gat,FB15k237Inductive:v1 (reference du regime),echantillonne,0,WikiTopicsMT4:health,Wikidata,new-KG,3406,0.4479,0.3682,0.5922,0.4479,0.0
gat,FB15k237Inductive:v1 (reference du regime),echantillonne,0,WikiTopicsMT4:sci,Wikidata,new-KG,2776,0.1338,0.0886,0.2255,0.1338,0.0
